condition,n_trials,n_participants,accept_rate,reject_rate,defer_rate,mean_confidence,mean_response_time_seconds,reference_alignment_rate,mean_calibration_error,unsupported_acceptance_rate,supported_rejection_rate
baseline,36,12,0.6666666666666666,0.25,0.08333333333333333,74.16666666666667,35.37153269888449,0.8333333333333334,0.32666666666666666,0.2,0.038461538461538464
peakaboo,36,12,0.5555555555555556,0.2777777777777778,0.16666666666666666,70.08333333333333,32.90738068955832,0.75,0.36972222222222223,0.1,0.07692307692307693
peakaboo_recommendation,36,12,0.9166666666666666,0.08333333333333333,0.0,71.13888888888889,31.70988357909551,0.8055555555555556,0.4002777777777778,0.7,0.0
