condition,decision,count,n,rate,ci95_low,ci95_high
baseline,accept,24,36,0.6666666666666666,0.5033369709296683,0.7978557522541395
baseline,reject,9,36,0.25,0.13750323839225387,0.41070767683203424
baseline,defer,3,36,0.08333333333333333,0.0287480892712918,0.21827010276918848
peakaboo,accept,20,36,0.5555555555555556,0.3958078731600341,0.7045897012345685
peakaboo,reject,10,36,0.2777777777777778,0.15848170025813796,0.43992800216345146
peakaboo,defer,6,36,0.16666666666666666,0.07870340628564097,0.3189111473467432
peakaboo_recommendation,accept,33,36,0.9166666666666666,0.7817298972308114,0.9712519107287082
peakaboo_recommendation,reject,3,36,0.08333333333333333,0.0287480892712918,0.21827010276918848
peakaboo_recommendation,defer,0,36,0.0,0.0,0.09642183044857634
