condition,confidence_bin,n,mean_confidence,reference_alignment_rate
baseline,41–60,9,53.333333333333336,0.7777777777777778
baseline,61–80,11,70.0,0.8181818181818182
baseline,81–100,16,88.75,0.875
peakaboo,41–60,12,53.083333333333336,0.6666666666666666
peakaboo,61–80,12,69.41666666666667,0.75
peakaboo,81–100,12,87.75,0.8333333333333334
peakaboo_recommendation,41–60,10,52.8,1.0
peakaboo_recommendation,61–80,14,71.92857142857143,0.7857142857142857
peakaboo_recommendation,81–100,12,85.5,0.6666666666666666
